 tracf=1	  fldr=13	    sx=2600	    gx=1125	offset=-1475	   cdp=25	

 tracf=3	  fldr=12	    sx=2550	    gx=1175	offset=-1375	   cdp=25	

 tracf=5	  fldr=11	    sx=2500	    gx=1225	offset=-1275	   cdp=25	

 tracf=7	  fldr=10	    sx=2450	    gx=1275	offset=-1175	   cdp=25	

 tracf=9	  fldr=9	    sx=2400	    gx=1325	offset=-1075	   cdp=25	

 tracf=11	  fldr=8	    sx=2350	    gx=1375	offset=-975	   cdp=25	

 tracf=13	  fldr=7	    sx=2300	    gx=1425	offset=-875	   cdp=25	

 tracf=15	  fldr=6	    sx=2250	    gx=1475	offset=-775	   cdp=25	

 tracf=17	  fldr=5	    sx=2200	    gx=1525	offset=-675	   cdp=25	

 tracf=19	  fldr=4	    sx=2150	    gx=1575	offset=-575	   cdp=25	

 tracf=21	  fldr=3	    sx=2100	    gx=1625	offset=-475	   cdp=25	

 tracf=23	  fldr=2	    sx=2050	    gx=1675	offset=-375	   cdp=25	

 tracf=25	  fldr=1	    sx=2000	    gx=1725	offset=-275	   cdp=25	

 tracf=2	  fldr=13	    sx=2600	    gx=1175	offset=-1425	   cdp=26	

 tracf=4	  fldr=12	    sx=2550	    gx=1225	offset=-1325	   cdp=26	

 tracf=6	  fldr=11	    sx=2500	    gx=1275	offset=-1225	   cdp=26	

 tracf=8	  fldr=10	    sx=2450	    gx=1325	offset=-1125	   cdp=26	

 tracf=10	  fldr=9	    sx=2400	    gx=1375	offset=-1025	   cdp=26	

 tracf=12	  fldr=8	    sx=2350	    gx=1425	offset=-925	   cdp=26	

 tracf=14	  fldr=7	    sx=2300	    gx=1475	offset=-825	   cdp=26	

 tracf=16	  fldr=6	    sx=2250	    gx=1525	offset=-725	   cdp=26	

 tracf=18	  fldr=5	    sx=2200	    gx=1575	offset=-625	   cdp=26	

 tracf=20	  fldr=4	    sx=2150	    gx=1625	offset=-525	   cdp=26	

 tracf=22	  fldr=3	    sx=2100	    gx=1675	offset=-425	   cdp=26	

 tracf=24	  fldr=2	    sx=2050	    gx=1725	offset=-325	   cdp=26	

 tracf=26	  fldr=1	    sx=2000	    gx=1775	offset=-225	   cdp=26	

 tracf=1	  fldr=14	    sx=2650	    gx=1175	offset=-1475	   cdp=27	

 tracf=3	  fldr=13	    sx=2600	    gx=1225	offset=-1375	   cdp=27	

 tracf=5	  fldr=12	    sx=2550	    gx=1275	offset=-1275	   cdp=27	

 tracf=7	  fldr=11	    sx=2500	    gx=1325	offset=-1175	   cdp=27	

 tracf=9	  fldr=10	    sx=2450	    gx=1375	offset=-1075	   cdp=27	

 tracf=11	  fldr=9	    sx=2400	    gx=1425	offset=-975	   cdp=27	

 tracf=13	  fldr=8	    sx=2350	    gx=1475	offset=-875	   cdp=27	

 tracf=15	  fldr=7	    sx=2300	    gx=1525	offset=-775	   cdp=27	

 tracf=17	  fldr=6	    sx=2250	    gx=1575	offset=-675	   cdp=27	

 tracf=19	  fldr=5	    sx=2200	    gx=1625	offset=-575	   cdp=27	

 tracf=21	  fldr=4	    sx=2150	    gx=1675	offset=-475	   cdp=27	

 tracf=23	  fldr=3	    sx=2100	    gx=1725	offset=-375	   cdp=27	

 tracf=25	  fldr=2	    sx=2050	    gx=1775	offset=-275	   cdp=27	

 tracf=27	  fldr=1	    sx=2000	    gx=1825	offset=-175	   cdp=27	

 tracf=2	  fldr=14	    sx=2650	    gx=1225	offset=-1425	   cdp=28	

 tracf=4	  fldr=13	    sx=2600	    gx=1275	offset=-1325	   cdp=28	

 tracf=6	  fldr=12	    sx=2550	    gx=1325	offset=-1225	   cdp=28	

 tracf=8	  fldr=11	    sx=2500	    gx=1375	offset=-1125	   cdp=28	

 tracf=10	  fldr=10	    sx=2450	    gx=1425	offset=-1025	   cdp=28	

 tracf=12	  fldr=9	    sx=2400	    gx=1475	offset=-925	   cdp=28	

 tracf=14	  fldr=8	    sx=2350	    gx=1525	offset=-825	   cdp=28	

 tracf=16	  fldr=7	    sx=2300	    gx=1575	offset=-725	   cdp=28	

 tracf=18	  fldr=6	    sx=2250	    gx=1625	offset=-625	   cdp=28	

 tracf=20	  fldr=5	    sx=2200	    gx=1675	offset=-525	   cdp=28	

 tracf=22	  fldr=4	    sx=2150	    gx=1725	offset=-425	   cdp=28	

 tracf=24	  fldr=3	    sx=2100	    gx=1775	offset=-325	   cdp=28	

 tracf=26	  fldr=2	    sx=2050	    gx=1825	offset=-225	   cdp=28	

 tracf=28	  fldr=1	    sx=2000	    gx=1875	offset=-125	   cdp=28	

 tracf=1	  fldr=15	    sx=2700	    gx=1225	offset=-1475	   cdp=29	

 tracf=3	  fldr=14	    sx=2650	    gx=1275	offset=-1375	   cdp=29	

 tracf=5	  fldr=13	    sx=2600	    gx=1325	offset=-1275	   cdp=29	

 tracf=7	  fldr=12	    sx=2550	    gx=1375	offset=-1175	   cdp=29	

 tracf=9	  fldr=11	    sx=2500	    gx=1425	offset=-1075	   cdp=29	

 tracf=11	  fldr=10	    sx=2450	    gx=1475	offset=-975	   cdp=29	

 tracf=13	  fldr=9	    sx=2400	    gx=1525	offset=-875	   cdp=29	

 tracf=15	  fldr=8	    sx=2350	    gx=1575	offset=-775	   cdp=29	

 tracf=17	  fldr=7	    sx=2300	    gx=1625	offset=-675	   cdp=29	

 tracf=19	  fldr=6	    sx=2250	    gx=1675	offset=-575	   cdp=29	

 tracf=21	  fldr=5	    sx=2200	    gx=1725	offset=-475	   cdp=29	

 tracf=23	  fldr=4	    sx=2150	    gx=1775	offset=-375	   cdp=29	

 tracf=25	  fldr=3	    sx=2100	    gx=1825	offset=-275	   cdp=29	

 tracf=27	  fldr=2	    sx=2050	    gx=1875	offset=-175	   cdp=29	

 tracf=29	  fldr=1	    sx=2000	    gx=1925	offset=-75	   cdp=29	

 tracf=2	  fldr=15	    sx=2700	    gx=1275	offset=-1425	   cdp=30	

 tracf=4	  fldr=14	    sx=2650	    gx=1325	offset=-1325	   cdp=30	

 tracf=6	  fldr=13	    sx=2600	    gx=1375	offset=-1225	   cdp=30	

 tracf=8	  fldr=12	    sx=2550	    gx=1425	offset=-1125	   cdp=30	

 tracf=10	  fldr=11	    sx=2500	    gx=1475	offset=-1025	   cdp=30	

 tracf=12	  fldr=10	    sx=2450	    gx=1525	offset=-925	   cdp=30	

 tracf=14	  fldr=9	    sx=2400	    gx=1575	offset=-825	   cdp=30	

 tracf=16	  fldr=8	    sx=2350	    gx=1625	offset=-725	   cdp=30	

 tracf=18	  fldr=7	    sx=2300	    gx=1675	offset=-625	   cdp=30	

 tracf=20	  fldr=6	    sx=2250	    gx=1725	offset=-525	   cdp=30	

 tracf=22	  fldr=5	    sx=2200	    gx=1775	offset=-425	   cdp=30	

 tracf=24	  fldr=4	    sx=2150	    gx=1825	offset=-325	   cdp=30	

 tracf=26	  fldr=3	    sx=2100	    gx=1875	offset=-225	   cdp=30	

 tracf=28	  fldr=2	    sx=2050	    gx=1925	offset=-125	   cdp=30	

 tracf=30	  fldr=1	    sx=2000	    gx=1975	offset=-25	   cdp=30	

 tracf=1	  fldr=16	    sx=2750	    gx=1275	offset=-1475	   cdp=31	

 tracf=3	  fldr=15	    sx=2700	    gx=1325	offset=-1375	   cdp=31	

 tracf=5	  fldr=14	    sx=2650	    gx=1375	offset=-1275	   cdp=31	

 tracf=7	  fldr=13	    sx=2600	    gx=1425	offset=-1175	   cdp=31	

 tracf=9	  fldr=12	    sx=2550	    gx=1475	offset=-1075	   cdp=31	

 tracf=11	  fldr=11	    sx=2500	    gx=1525	offset=-975	   cdp=31	

 tracf=13	  fldr=10	    sx=2450	    gx=1575	offset=-875	   cdp=31	

 tracf=15	  fldr=9	    sx=2400	    gx=1625	offset=-775	   cdp=31	

 tracf=17	  fldr=8	    sx=2350	    gx=1675	offset=-675	   cdp=31	

 tracf=19	  fldr=7	    sx=2300	    gx=1725	offset=-575	   cdp=31	

 tracf=21	  fldr=6	    sx=2250	    gx=1775	offset=-475	   cdp=31	

 tracf=23	  fldr=5	    sx=2200	    gx=1825	offset=-375	   cdp=31	

 tracf=25	  fldr=4	    sx=2150	    gx=1875	offset=-275	   cdp=31	

 tracf=27	  fldr=3	    sx=2100	    gx=1925	offset=-175	   cdp=31	

 tracf=29	  fldr=2	    sx=2050	    gx=1975	offset=-75	   cdp=31	

 tracf=31	  fldr=1	    sx=2000	    gx=2025	offset=25	   cdp=31	

 tracf=2	  fldr=16	    sx=2750	    gx=1325	offset=-1425	   cdp=32	

 tracf=4	  fldr=15	    sx=2700	    gx=1375	offset=-1325	   cdp=32	

 tracf=6	  fldr=14	    sx=2650	    gx=1425	offset=-1225	   cdp=32	

 tracf=8	  fldr=13	    sx=2600	    gx=1475	offset=-1125	   cdp=32	

 tracf=10	  fldr=12	    sx=2550	    gx=1525	offset=-1025	   cdp=32	

 tracf=12	  fldr=11	    sx=2500	    gx=1575	offset=-925	   cdp=32	

 tracf=14	  fldr=10	    sx=2450	    gx=1625	offset=-825	   cdp=32	

 tracf=16	  fldr=9	    sx=2400	    gx=1675	offset=-725	   cdp=32	

 tracf=18	  fldr=8	    sx=2350	    gx=1725	offset=-625	   cdp=32	

 tracf=20	  fldr=7	    sx=2300	    gx=1775	offset=-525	   cdp=32	

 tracf=22	  fldr=6	    sx=2250	    gx=1825	offset=-425	   cdp=32	

 tracf=24	  fldr=5	    sx=2200	    gx=1875	offset=-325	   cdp=32	

 tracf=26	  fldr=4	    sx=2150	    gx=1925	offset=-225	   cdp=32	

 tracf=28	  fldr=3	    sx=2100	    gx=1975	offset=-125	   cdp=32	

 tracf=30	  fldr=2	    sx=2050	    gx=2025	offset=-25	   cdp=32	

 tracf=32	  fldr=1	    sx=2000	    gx=2075	offset=75	   cdp=32	

 tracf=1	  fldr=17	    sx=2800	    gx=1325	offset=-1475	   cdp=33	

 tracf=3	  fldr=16	    sx=2750	    gx=1375	offset=-1375	   cdp=33	

 tracf=5	  fldr=15	    sx=2700	    gx=1425	offset=-1275	   cdp=33	

 tracf=7	  fldr=14	    sx=2650	    gx=1475	offset=-1175	   cdp=33	

 tracf=9	  fldr=13	    sx=2600	    gx=1525	offset=-1075	   cdp=33	

 tracf=11	  fldr=12	    sx=2550	    gx=1575	offset=-975	   cdp=33	

 tracf=13	  fldr=11	    sx=2500	    gx=1625	offset=-875	   cdp=33	

 tracf=15	  fldr=10	    sx=2450	    gx=1675	offset=-775	   cdp=33	

 tracf=17	  fldr=9	    sx=2400	    gx=1725	offset=-675	   cdp=33	

 tracf=19	  fldr=8	    sx=2350	    gx=1775	offset=-575	   cdp=33	

 tracf=21	  fldr=7	    sx=2300	    gx=1825	offset=-475	   cdp=33	

 tracf=23	  fldr=6	    sx=2250	    gx=1875	offset=-375	   cdp=33	

 tracf=25	  fldr=5	    sx=2200	    gx=1925	offset=-275	   cdp=33	

 tracf=27	  fldr=4	    sx=2150	    gx=1975	offset=-175	   cdp=33	

 tracf=29	  fldr=3	    sx=2100	    gx=2025	offset=-75	   cdp=33	
